channel,ch[0],ch[1],ch[2],ch[3],ch[4],ch[5],ch[6],ch[7],ch[8],ch[9],ch[10],ch[11],ch[12],ch[13],ch[14],ch[15],ch[16],ch[17],ch[18],ch[19]
ch[0],1.0,0.9963383763383763,0.997012009012009,0.009717129717129718,0.9965688605688605,0.9965907485907486,0.9967728607728608,0.9967354207354208,0.9972978372978373,0.9956877476877477,0.9965175965175966,0.9967583767583768,0.9972633012633013,0.9962698442698443,0.9964356124356125,0.9965472125472127,0.9922671802671805,0.9916491676491678,0.991907515907516,-0.11998904398904402
ch[1],0.9963383763383763,1.0,0.9961324321324322,0.009466893466893469,0.9958227478227478,0.9961967761967762,0.9957389037389038,0.9966067686067687,0.9965461685461686,0.9962551442551443,0.9957589437589438,0.9968776808776809,0.9961756201756204,0.9962960762960764,0.9960290880290881,0.9966964086964089,0.9922681402681404,0.9911976071976072,0.9919976479976481,-0.12993774993774995
ch[2],0.997012009012009,0.9961324321324322,1.0,0.005162381162381163,0.9961793281793283,0.9956565596565597,0.9961064521064523,0.9964064284064286,0.9969283209283208,0.9956280476280478,0.995879843879844,0.9961232641232642,0.9964936924936925,0.9959157359157359,0.9959742119742121,0.9965117525117526,0.9913002553002553,0.9913133233133234,0.9912811272811274,-0.12357997557997558
ch[3],0.009717129717129718,0.009466893466893469,0.005162381162381163,1.0,0.0063295143295143295,0.019119499119499124,0.0021423381423381423,0.00867064467064467,0.00336942336942337,0.009714129714129716,0.01120863520863521,0.0012865932865932866,0.011073719073719075,0.006946062946062946,0.006276894276894277,0.009920325920325922,0.022408690408690406,-0.007226143226143226,0.025372105372105377,0.004267816267816268
ch[4],0.9965688605688605,0.9958227478227478,0.9961793281793283,0.0063295143295143295,1.0,0.995874851874852,0.9957771357771358,0.9966021006021007,0.9968849048849049,0.9954971634971636,0.9959663279663279,0.9961130401130402,0.996898908898909,0.9960641640641642,0.9962036642036642,0.996053604053604,0.99200162000162,0.9912277152277154,0.9917803997803999,-0.1327967167967168
ch[5],0.9965907485907486,0.9961967761967762,0.9956565596565597,0.019119499119499124,0.995874851874852,1.0,0.9955041955041956,0.9965529605529607,0.9965212085212086,0.9956473676473677,0.9957802797802799,0.9971030651030652,0.9960870840870841,0.9965937725937726,0.9963228363228365,0.9966441126441129,0.9917077277077279,0.9920189480189481,0.9912893472893473,-0.12196286596286599
ch[6],0.9967728607728608,0.9957389037389038,0.9961064521064523,0.0021423381423381423,0.9957771357771358,0.9955041955041956,1.0,0.996122904122904,0.9967272127272129,0.9949527229527231,0.9956784356784358,0.9956708036708036,0.9966258606258607,0.9953698073698074,0.995817095817096,0.9961791121791124,0.9901696501696503,0.9913251793251795,0.9901904821904823,-0.12255368655368656
ch[7],0.9967354207354208,0.9966067686067687,0.9964064284064286,0.00867064467064467,0.9966021006021007,0.9965529605529607,0.996122904122904,1.0,0.996884256884257,0.9961630081630083,0.9960715320715322,0.9967581007581008,0.9969652209652209,0.9967999087999089,0.9963298563298563,0.9970047970047972,0.9923546123546123,0.9916374676374677,0.9926373926373926,-0.12280314280314282
ch[8],0.9972978372978373,0.9965461685461686,0.9969283209283208,0.00336942336942337,0.9968849048849049,0.9965212085212086,0.9967272127272129,0.996884256884257,1.0,0.9957828957828959,0.9962612162612163,0.9969159489159489,0.9972968772968773,0.9968201888201889,0.996988056988057,0.9967554967554969,0.9916004956004957,0.9919070719070721,0.991863055863056,-0.12321612321612321
ch[9],0.9956877476877477,0.9962551442551443,0.9956280476280478,0.009714129714129716,0.9954971634971636,0.9956473676473677,0.9949527229527231,0.9961630081630083,0.9957828957828959,1.0,0.9948890148890148,0.996060348060348,0.9956616716616719,0.9961296721296722,0.9953996753996754,0.9962567042567043,0.9908612468612468,0.9916294516294516,0.9906844146844147,-0.12057188457188459
ch[10],0.9965175965175966,0.9957589437589438,0.995879843879844,0.01120863520863521,0.9959663279663279,0.9957802797802799,0.9956784356784358,0.9960715320715322,0.9962612162612163,0.9948890148890148,1.0,0.9959426399426399,0.9964539244539246,0.9955019275019275,0.9957487797487797,0.9958096198096198,0.9922947442947444,0.9909967269967271,0.99185587985588,-0.1367009567009567
ch[11],0.9967583767583768,0.9968776808776809,0.9961232641232642,0.0012865932865932866,0.9961130401130402,0.9971030651030652,0.9956708036708036,0.9967581007581008,0.9969159489159489,0.996060348060348,0.9959426399426399,1.0,0.9966613326613327,0.996870396870397,0.9964804204804204,0.9973443373443374,0.9924085404085405,0.9917248757248758,0.9917499077499078,-0.11862958662958663
ch[12],0.9972633012633013,0.9961756201756204,0.9964936924936925,0.011073719073719075,0.996898908898909,0.9960870840870841,0.9966258606258607,0.9969652209652209,0.9972968772968773,0.9956616716616719,0.9964539244539246,0.9966613326613327,1.0,0.9963206763206766,0.9967094047094047,0.9963466683466684,0.9920923040923042,0.9914389634389633,0.9920938160938162,-0.12452215652215655
ch[13],0.9962698442698443,0.9962960762960764,0.9959157359157359,0.006946062946062946,0.9960641640641642,0.9965937725937726,0.9953698073698074,0.9967999087999089,0.9968201888201889,0.9961296721296722,0.9955019275019275,0.996870396870397,0.9963206763206766,1.0,0.9960924000924002,0.996996108996109,0.9913799353799355,0.9923750483750486,0.9916543156543156,-0.1206833046833047
ch[14],0.9964356124356125,0.9960290880290881,0.9959742119742121,0.006276894276894277,0.9962036642036642,0.9963228363228365,0.995817095817096,0.9963298563298563,0.996988056988057,0.9953996753996754,0.9957487797487797,0.9964804204804204,0.9967094047094047,0.9960924000924002,1.0,0.9964026484026485,0.9915973155973157,0.9916680796680798,0.9915879675879677,-0.12449060849060851
ch[15],0.9965472125472127,0.9966964086964089,0.9965117525117526,0.009920325920325922,0.996053604053604,0.9966441126441129,0.9961791121791124,0.9970047970047972,0.9967554967554969,0.9962567042567043,0.9958096198096198,0.9973443373443374,0.9963466683466684,0.996996108996109,0.9964026484026485,1.0,0.9916382476382476,0.9927566487566487,0.9915651435651436,-0.11808076608076609
ch[16],0.9922671802671805,0.9922681402681404,0.9913002553002553,0.022408690408690406,0.99200162000162,0.9917077277077279,0.9901696501696503,0.9923546123546123,0.9916004956004957,0.9908612468612468,0.9922947442947444,0.9924085404085405,0.9920923040923042,0.9913799353799355,0.9915973155973157,0.9916382476382476,1.0,0.9776880656880658,0.9964581004581005,-0.11949469149469151
ch[17],0.9916491676491678,0.9911976071976072,0.9913133233133234,-0.007226143226143226,0.9912277152277154,0.9920189480189481,0.9913251793251795,0.9916374676374677,0.9919070719070721,0.9916294516294516,0.9909967269967271,0.9917248757248758,0.9914389634389633,0.9923750483750486,0.9916680796680798,0.9927566487566487,0.9776880656880658,1.0,0.9774575214575215,-0.12951459351459352
ch[18],0.991907515907516,0.9919976479976481,0.9912811272811274,0.025372105372105377,0.9917803997803999,0.9912893472893473,0.9901904821904823,0.9926373926373926,0.991863055863056,0.9906844146844147,0.99185587985588,0.9917499077499078,0.9920938160938162,0.9916543156543156,0.9915879675879677,0.9915651435651436,0.9964581004581005,0.9774575214575215,1.0,-0.11797871797871799
ch[19],-0.11998904398904402,-0.12993774993774995,-0.12357997557997558,0.004267816267816268,-0.1327967167967168,-0.12196286596286599,-0.12255368655368656,-0.12280314280314282,-0.12321612321612321,-0.12057188457188459,-0.1367009567009567,-0.11862958662958663,-0.12452215652215655,-0.1206833046833047,-0.12449060849060851,-0.11808076608076609,-0.11949469149469151,-0.12951459351459352,-0.11797871797871799,1.0
